name,id,gender,uid,department
"Jonathan Demme",5009,2,16294,Directing
"Henry Jaglom",5010,2,117075,Directing
"James Algar",5011,2,5690,Directing
"Vincent Ward",5012,0,9198,Directing
"Steven Brill",5013,2,32593,Directing
"Terry Gilliam",5014,2,280,Directing
"Lucile Hadzihalilovic",5015,0,17627,Directing
"Roger Christian",5016,2,5058,Directing
"Joe Dante",5017,2,4600,Directing
"Kevin Costner",5018,2,1269,Directing
"Antony Hoffman",5019,2,56154,Directing
"Jacques Perrin",5020,2,20030,Directing
"Andrés Couturier",5021,0,1172908,Directing
"Roger Allers",5022,2,15812,Directing
"Cody Cameron",5023,2,12095,Directing
"John Singleton",5024,2,6482,Directing
"Oliver Hirschbiegel",5025,2,7832,Directing
"Des McAnuff",5026,2,588701,Directing
"Chris Renaud",5027,0,124748,Directing
"Stephen Norrington",5028,2,10808,Directing
"Pierre Coffin",5029,2,124747,Directing
"David Kellogg",5030,2,4759,Directing
"Mike Nichols",5031,2,5342,Directing
"Vicky Jenson",5032,1,12058,Directing
"F. Gary Gray",5033,2,37932,Directing
"Antoine Fuqua",5034,2,20907,Directing
"Robert Luketic",5035,2,36797,Directing
"Gil Kenan",5036,2,57193,Directing
"Barry Levinson",5037,2,8246,Directing
"Jerry Zucker",5038,2,3415,Directing
"Andy Tennant",5039,2,17167,Directing
"Florent-Emilio Siri",5040,0,1011158,Directing
"Gary Goldman",5041,2,12881,Directing
"Ron Shelton",5042,2,4037,Directing
"Àlex Pastor",5043,2,94220,Directing
"Henry Selick",5044,2,57646,Directing
"Kyle Balda",5045,0,8023,Directing
"Fergal Reilly",5046,0,52701,Directing
"Judd Apatow",5047,2,41039,Directing
"Steve Carr",5048,2,52112,Directing
"Mel Gibson",5049,2,2461,Directing
"David Silverman",5050,2,197,Directing
"Frank Darabont",5051,2,4027,Directing
"Betty Thomas",5052,1,31024,Directing
"Garry Marshall",5053,2,1201,Directing
"Paul Tibbitt",5054,0,217174,Directing
"Clark Johnson",5055,2,47640,Directing
"Cameron Crowe",5056,2,11649,Directing
"Randall Wallace",5057,2,2460,Directing
"Jonathan Frakes",5058,2,2388,Directing
"George Clooney",5059,2,1461,Directing
"Gary Shore",5060,0,1167470,Directing
"Andrzej Bartkowiak",5061,2,10765,Directing
"Måns Mårlind",5062,2,80923,Directing
"Gregory Hoblit",5063,2,17812,Directing
"Gary McKendry",5064,0,141688,Directing
"Wych Kaosayananda",5065,0,65615,Directing
"Mikael Salomon",5066,2,30149,Directing
"Bobby Farrelly",5067,2,7395,Directing
"Dan St. Pierre",5068,0,15780,Directing
"Kerry Conran",5069,2,41378,Directing
"Michael Caton-Jones",5070,2,30365,Directing
"Mikael Håfström",5071,0,29605,Directing
"Phil Alden Robinson",5072,2,23968,Directing
"David Slade",5073,2,27571,Directing
"Joseph Ruben",5074,2,52629,Directing
"Seth MacFarlane",5075,2,52139,Directing
"Alejandro Amenábar",5076,2,19840,Directing
"Kinka Usher",5077,0,59646,Directing
"Craig Gillespie",5078,0,50767,Directing
"Rob Bowman",5079,2,12523,Directing
"Doug Lefler",5080,0,58656,Directing
"Scott Waugh",5081,2,293911,Directing
"Lawrence Kasdan",5082,2,8844,Directing
"Michael Lembeck",5083,2,15045,Directing
"Tom Hooper",5084,2,70500,Directing
"Nora Ephron",5085,0,9248,Directing
"Angelina Jolie",5086,1,11701,Directing
"Clint Eastwood",5087,2,190,Directing
"Larry Charles",5088,2,6767,Directing
"Stanley Kubrick",5089,2,240,Directing
"Will Gluck",5090,2,82511,Directing
"Glenn Ficarra",5091,2,56411,Directing
"David S. Goyer",5092,2,3893,Directing
"Taylor Hackford",5093,0,18596,Directing
"Michael Lehmann",5094,2,7145,Directing
"Stuart Beattie",5095,0,1707,Directing
"Roman Polanski",5096,2,3556,Directing
"Robert Rodriguez",5097,0,2294,Directing
"Baltasar Kormákur",5098,2,67813,Directing
"Daniel Lee",5099,2,57832,Directing
"Keenen Ivory Wayans",5100,2,35689,Directing
"Rob Reiner",5101,2,3026,Directing
"Marco Schnabel",5102,2,71527,Directing
"Demian Lichtenstein",5103,2,71418,Directing
"Josh Gordon",5104,2,60922,Directing
"Tim Hill",5105,2,49903,Directing
"David Frankel",5106,2,5065,Directing
"Marc Lawrence",5107,2,18323,Directing
"Peter Billingsley",5108,2,12708,Directing
"Wes Ball",5109,0,1179066,Directing
"Ryan Murphy",5110,2,52779,Directing
"Robert Redford",5111,2,4135,Directing
"Jay Russell",5112,2,46297,Directing
"Kenny Ortega",5113,2,65310,Directing
"David McNally",5114,2,48980,Directing
"Brian Robbins",5115,2,53177,Directing
"Brian Levant",5116,2,13581,Directing
"Steven Zaillian",5117,2,2260,Directing
"Sam Fell",5118,2,58897,Directing
"Jon Avnet",5119,2,18250,Directing
"Robert Stevenhagen",5120,0,64152,Directing
"Kevin Donovan",5121,2,66654,Directing
"Geoff Murphy",5122,2,32277,Directing
"David O. Russell",5123,2,17883,Directing
"Babak Najafi",5124,2,132239,Directing
"Jean-Pierre Jeunet",5125,2,2419,Directing
"Anthony Stacchi",5126,2,52691,Directing
"Griffin Dunne",5127,0,2171,Directing
"John Pasquin",5128,2,58072,Directing
"Ruben Fleischer",5129,2,91268,Directing
"Harold Ramis",5130,2,1524,Directing
"Kevin Macdonald",5131,2,17350,Directing
"Donald Petrie",5132,2,18281,Directing
"Jorge Blanco",5133,2,117052,Directing
"Stuart Baird",5134,2,2523,Directing
"Joel Coen",5135,0,1223,Directing
"Robert Lorenz",5136,2,4746,Directing
"Harold Becker",5137,2,23213,Directing
"Scott Stewart",5138,0,116357,Directing
"Tony Bill",5139,2,57138,Directing
"Rod Lurie",5140,2,21526,Directing
"Walter Hill",5141,2,1723,Directing
"Akiva Goldsman",5142,2,5575,Directing
"Harald Zwart",5143,2,21981,Directing
"Walter Salles",5144,2,8574,Directing
"Iain Softley",5145,2,1978,Directing
"Frank Miller",5146,2,2293,Directing
"David Koepp",5147,2,508,Directing
"Uwe Boll",5148,2,23799,Directing
"Soi Cheang",5149,2,93991,Directing
"John Dahl",5150,2,21053,Directing
"Tim Miller",5151,2,55252,Directing
"Stephen Herek",5152,2,18356,Directing
"Peter MacDonald",5153,2,16589,Directing
"Anthony Hemingway",5154,0,1216147,Directing
"Sean Anders",5155,2,74619,Directing
"Brian Taylor",5156,2,20192,Directing
"John Madden",5157,0,18844,Directing
"Kevin Bray",5158,2,34453,Directing
"Mike Gabriel",5159,2,65530,Directing
"Sam Weisman",5160,2,54967,Directing
"Jesse Dylan",5161,2,54584,Directing
"Wayne Wang",5162,0,39819,Directing
"Gabriele Muccino",5163,2,20646,Directing
"Tom Dey",5164,2,46076,Directing
"Jimmy Hayward",5165,2,8029,Directing
"Alan Parker",5166,2,9168,Directing
"John Frankenheimer",5167,2,13776,Directing
"Paul King",5168,2,101666,Directing
"Akiva Schaffer",5169,2,62854,Directing
"William Friedkin",5170,0,15175,Directing
"Kent Alterman",5171,2,65702,Directing
"Peter Lord",5172,2,53304,Directing
"Shekhar Kapur",5173,2,37630,Directing
"Karyn Kusama",5174,1,54025,Directing
"Ronald F. Maxwell",5175,2,66088,Directing
"Robert Butler",5176,2,101767,Directing
"Steve Antin",5177,2,42745,Directing
"Jim Gillespie",5178,2,33254,Directing
"Francis Ford Coppola",5179,2,1776,Directing
"Richard Lester",5180,0,10586,Directing
"Scott Cooper",5181,2,65167,Directing
"Curtis Hanson",5182,2,323,Directing
"Phyllida Lloyd",5183,1,71068,Directing
"Jay Chandrasekhar",5184,2,52049,Directing
"Terrence Malick",5185,2,30715,Directing
"David Dobkin",5186,2,42994,Directing
"Milo Forman",5187,2,3974,Directing
"Pierre Morel",5188,2,35453,Directing
"Paul Hunter",5189,2,70573,Directing
"Steve Oedekerk",5190,2,4489,Directing
"John Whitesell",5191,2,61175,Directing
"George Nolfi",5192,2,1921,Directing
"Neil Jordan",5193,0,17016,Directing
"Rawson Marshall Thurber",5194,0,57633,Directing
"Spike Lee",5195,2,5281,Directing
"Brian Helgeland",5196,2,4723,Directing
"Frank Marshall",5197,2,664,Directing
"Hideo Nakata",5198,2,26875,Directing
"Peter Hewitt",5199,2,18357,Directing
"Joe Roth",5200,0,18311,Directing
"Bennett Miller",5201,2,5345,Directing
"Jaume Collet-Serra",5202,2,59521,Directing
"Andy Fickman",5203,2,58375,Directing
"James McTeigue",5204,2,11266,Directing
"Matthew O'Callaghan",5205,2,61290,Directing
"Angela Robinson",5206,1,7312,Directing
"Gary Fleder",5207,2,5501,Directing
"Tommy Wirkola",5208,2,76927,Directing
"Adrian Lyne",5209,2,7270,Directing
"Stephen Gaghan",5210,2,2945,Directing
"Jorge R. Gutierrez",5211,0,1265056,Directing
"Richard Loncraine",5212,2,33315,Directing
"Christophe Gans",5213,2,8296,Directing
"Howard Deutch",5214,2,26502,Directing
"Jon Hurwitz",5215,2,68843,Directing
"Steven Quale",5216,2,93214,Directing
"John Landis",5217,2,4610,Directing
"Alexander Witt",5218,2,17649,Directing
"Beeban Kidron",5219,1,20237,Directing
"Carl Franklin",5220,0,21712,Directing
"Steven Seagal",5221,2,23880,Directing
"Danny Boyle",5222,2,2034,Directing
"Andrew Bergman",5223,0,41550,Directing
"Barbet Schroeder",5224,2,23393,Directing
"Peter Webber",5225,2,16785,Directing
"Andrew Niccol",5226,2,8685,Directing
"John Carpenter",5227,2,11770,Directing
"Wes Anderson",5228,2,5655,Directing
"David Cronenberg",5229,2,224,Directing
"John Stockwell",5230,2,57082,Directing
"David Gordon Green",5231,2,64141,Directing
"Jim Sheridan",5232,2,53334,Directing
Costa-Gavras,5233,0,27436,Directing
"Patrick Read Johnson",5234,2,56059,Directing
"Richard LaGravenese",5235,2,2163,Directing
"Danny DeVito",5236,2,518,Directing
"George Armitage",5237,0,58294,Directing
"Patrick Lussier",5238,0,27226,Directing
"James Wong",5239,2,57134,Directing
"Richard Curtis",5240,2,7018,Directing
"Chuck Bowman",5241,2,41270,Directing
"Olivier Megaton",5242,2,75035,Directing
"Deepa Mehta",5243,1,4760,Directing
"Warren Beatty",5244,2,6449,Directing
"Penny Marshall",5245,1,14911,Directing
"Ted Kotcheff",5246,2,16544,Directing
"Andrei Tarkovsky",5247,2,8452,Directing
"Yvette Kaplan",5248,0,31093,Directing
"Stephen Frears",5249,0,3224,Directing
"P.J. Hogan",5250,2,3045,Directing
"Brad Furman",5251,2,144221,Directing
"Terence Young",5252,2,9855,Directing
"David Zucker",5253,2,12987,Directing
"Denis Villeneuve",5254,2,137427,Directing
"Thomas Carter",5255,2,52038,Directing
"Roger Michell",5256,2,7017,Directing
"Luis Llosa",5257,2,26648,Directing
"Melville Shavelson",5258,2,16745,Directing
"Garth Jennings",5259,2,52842,Directing
"Joel Zwick",5260,2,54644,Directing
"Russell Mulcahy",5261,2,52968,Directing
"David R. Ellis",5262,2,4755,Directing
"Peter Howitt",5263,2,7791,Directing
"John A. Davis",5264,2,60237,Directing
"David Lynch",5265,2,5602,Directing
"Julie Taymor",5266,1,16391,Directing
"Mathieu Kassovitz",5267,2,2406,Directing
"John Gray",5268,2,35155,Directing
"John Schultz",5269,2,79656,Directing
"Sean Penn",5270,2,2228,Directing
"Susan Stroman",5271,1,60129,Directing
"Simon Wincer",5272,0,18254,Directing
"Billy Bob Thornton",5273,2,879,Directing
"Danny Pang",5274,2,21905,Directing
"George P. Cosmatos",5275,2,16566,Directing
"Oliver Parker",5276,2,56710,Directing
"Lawrence Kasanoff",5277,2,43518,Directing
"Ben Affleck",5278,2,880,Directing
"Brian Gibson",5279,2,18069,Directing
"Ben Sharpsteen",5280,2,11426,Directing
"Michael Cimino",5281,2,12114,Directing
"Paul McGuigan",5282,0,2291,Directing
"Gus Van Sant",5283,2,5216,Directing
"Roger Kumble",5284,2,11873,Directing
"Burr Steers",5285,0,58552,Directing
"Nick Park",5286,2,7314,Directing
"John Hamburg",5287,2,17871,Directing
"Reginald Hudlin",5288,2,68215,Directing
"Joseph L. Mankiewicz",5289,2,10601,Directing
"Barbra Streisand",5290,0,10400,Directing
"Mark Pellington",5291,2,11676,Directing
"John Glen",5292,2,10179,Directing
"Catherine Hardwicke",5293,1,19850,Directing
"John Herzfeld",5294,2,27846,Directing
"Annabel Jankel",5295,0,58164,Directing
"Julie Anne Robinson",5296,1,114597,Directing
"Seth Rogen",5297,2,19274,Directing
"Sngmoo Lee",5298,2,141169,Directing
"Jamel Debbouze",5299,2,2408,Directing
"Gordon Chan",5300,0,64901,Directing
"Asger Leth",5301,0,72344,Directing
"John G. Avildsen",5302,2,16513,Directing
"Anne Fletcher",5303,1,29214,Directing
"Bruce Beresford",5304,2,5696,Directing
"Sam Taylor-Johnson",5305,1,1137903,Directing
"Ken Kwapis",5306,0,29009,Directing
"Wes Craven",5307,2,5140,Directing
"Etan Cohen",5308,0,52803,Directing
"Nick Cassavetes",5309,2,11151,Directing
"Nicholas Stoller",5310,2,52934,Directing
"Mark A.Z. Dippé",5311,0,87130,Directing
"Callan Brunker",5312,0,1098477,Directing
"Nimród Antal",5313,2,41671,Directing
"Alejandro Agresti",5314,2,21031,Directing
"Peter Hedges",5315,2,3290,Directing
"Paul Weiland",5316,2,66548,Directing
"Colin Strause",5317,2,6037,Directing
"Joan Chen",5318,1,6720,Directing
"Greg Mottola",5319,2,54733,Directing
"Jake Kasdan",5320,2,51851,Directing
"Diane Keaton",5321,1,3092,Directing
"Kelly Makin",5322,2,64030,Directing
"Stephen Daldry",5323,2,468,Directing
"Christian Duguay",5324,2,25735,Directing
"Justin Chadwick",5325,2,71570,Directing
"Pat O'Connor",5326,2,19969,Directing
"Frederik Du Chau",5327,2,50582,Directing
"Irwin Winkler",5328,2,11472,Directing
"Joseph Kahn",5329,2,66823,Directing
"Sofia Coppola",5330,1,1769,Directing
"Stephen T. Kay",5331,2,56435,Directing
"Juan Antonio Bayona",5332,2,51894,Directing
"Elaine May",5333,1,58251,Directing
"Dennie Gordon",5334,1,66960,Directing
"Charles Shyer",5335,2,56106,Directing
"Ulu Grosbard",5336,2,140354,Directing
"William Malone",5337,2,57898,Directing
"Malcolm D. Lee",5338,2,72024,Directing
"Jerry Jameson",5339,2,52094,Directing
"Mic Rodgers",5340,2,18889,Directing
"Christian Alvart",5341,2,54559,Directing
"Jean-Marie Poiré",5342,2,64909,Directing
"Marc F. Adler",5343,2,86295,Directing
"Geoffrey Sax",5344,2,61357,Directing
"Richard Shepard",5345,2,44740,Directing
"Peter Chan",5346,2,56739,Directing
"Sergei Bodrov Jr.",5347,2,71871,Directing
"Bong Joon-ho",5348,2,21684,Directing
"Bibo Bergeron",5349,2,65629,Directing
"Jeff Nathanson",5350,2,2689,Directing
"S.S. Rajamouli",5351,2,147021,Directing
"Charles S. Dutton",5352,2,17764,Directing
"Jonathan Lynn",5353,2,21217,Directing
"David Carson",5354,2,2380,Directing
"Wong Kar-wai",5355,2,12453,Directing
"Yuefeng Song",5356,0,1496406,Directing
"Norman Jewison",5357,2,13563,Directing
"David Mirkin",5358,2,58178,Directing
"Luis Mandoki",5359,0,46085,Directing
"Lee Daniels",5360,2,20019,Directing
"Jeb Stuart",5361,2,7671,Directing
"Steve Miner",5362,2,58712,Directing
"Paul Thomas Anderson",5363,2,4762,Directing
"David Leland",5364,2,33317,Directing
"J Blakeson",5365,2,111588,Directing
"Ryan Coogler",5366,2,1056121,Directing
"Kirk Jones",5367,0,64045,Directing
"Jennifer Flackett",5368,1,66218,Directing
"Kevin Smith",5369,2,19303,Directing
"Christian Ditter",5370,2,63820,Directing
"Charles Martin Smith",5371,2,1270,Directing
"Fyodor Bondarchuk",5372,2,80999,Directing
"Irvin Kershner",5373,2,10930,Directing
"Steve Pink",5374,2,3227,Directing
"Scott Hicks",5375,2,33433,Directing
"Kirk De Micco",5376,2,71267,Directing
"Chris Rock",5377,2,2632,Directing
"Wilson Yip",5378,2,63571,Directing
"Robert Wise",5379,2,1744,Directing
"Kevin Rodney Sullivan",5380,2,70777,Directing
"Kevin Munroe",5381,2,19499,Directing
"Mike Tollin",5382,2,53178,Directing
"Patrick Tatopoulos",5383,2,3964,Directing
"Gary David Goldberg",5384,2,70738,Directing
"Tobe Hooper",5385,2,10051,Directing
"Alan Poul",5386,2,113225,Directing
"Luke Greenfield",5387,2,65734,Directing
"Gil Junger",5388,2,40243,Directing
"Michael Ritchie",5389,2,12964,Directing
"Steven E. de Souza",5390,2,1726,Directing
"Alexandre Aja",5391,2,59291,Directing
"Michael Rymer",5392,2,28741,Directing
"Hugh Wilson",5393,2,28904,Directing
"Mike Hodges",5394,0,17281,Directing
"Scott Mann",5395,0,90812,Directing
"Susanna White",5396,0,113600,Directing
"Chris Carter",5397,2,12524,Directing
"Tommy O'Haver",5398,2,62514,Directing
"Peter Landesman",5399,0,1192754,Directing
"Gary Chapman",5400,2,80691,Directing
"Craig Mazin",5401,2,35796,Directing
"Allen Hughes",5402,2,11448,Directing
"Kimble Rendall",5403,0,64163,Directing
"Peter Yates",5404,2,12804,Directing
"Lasse Hallström",5405,2,5306,Directing
"Jean-Marc Vallée",5406,2,69371,Directing
"Tsui Hark",5407,2,26760,Directing
"Lexi Alexander",5408,0,56359,Directing
"Ronny Yu",5409,0,17268,Directing
"Bille August",5410,2,19684,Directing
"Moustapha Akkad",5411,2,66203,Directing
"Jean-Paul Rappeneau",5412,2,25950,Directing
